Station,Geology,Geomorphology,Soil,Slope_percent,Drainage_Density,Lineament_Density,LULC,NDVI,SAVI,Rainfall_mm,Groundwater_Potential_Class
Bhadrachalam,Gneiss,Pediplain,Red Soil,11.6,0.83,0.63,Built-up,0.574,0.623,927.4,Moderate
Bhadrachalam,Basalt,Alluvial Plain,Alluvial Soil,14.33,0.73,0.14,Built-up,0.156,0.155,407.9,Very Low
Bhadrachalam,Granodiorite,Denudational Hills,Clayey Soil,8.93,3.97,0.22,Fallow Land,0.392,0.438,662.4,Moderate
Bhadrachalam,Schist,Alluvial Plain,Red Soil,29.79,0.8,0.47,Agricultural Land,0.122,0.161,769.4,Moderate
Bhadrachalam,Gneiss,Denudational Hills,Red Soil,21.06,2.04,0.6,Water Body,0.208,0.187,1097.1,Moderate
Bhadrachalam,Schist,Denudational Hills,Clayey Soil,19.58,2.05,0.22,Agricultural Land,0.153,0.137,518.8,Low
Bhadrachalam,Basalt,Structural Hills,Black Cotton Soil,8.75,2.14,0.5,Fallow Land,0.23,0.225,422.6,Very Low
Bhadrachalam,Gneiss,Structural Hills,Clayey Soil,27.62,0.83,0.71,Agricultural Land,0.57,0.562,806.8,Moderate
Bhadrachalam,Gneiss,Flood Plain,Alluvial Soil,11.61,3.5,0.34,Fallow Land,0.489,0.487,1089.7,Moderate
Bhadrachalam,Basalt,Structural Hills,Black Cotton Soil,0.9,0.8,0.57,Fallow Land,0.132,0.086,493.7,Low
Bhadrachalam,Granite,Flood Plain,Clayey Soil,11.65,1.46,0.2,Fallow Land,0.393,0.416,930.0,Moderate
Ramagundam NTPC,Granodiorite,Pediplain,Black Cotton Soil,1.88,1.57,0.07,Built-up,0.204,0.242,929.9,High
Ramagundam NTPC,Basalt,Structural Hills,Red Soil,3.11,3.67,0.49,Built-up,0.254,0.286,1077.6,Very High
Ramagundam NTPC,Gneiss,Flood Plain,Red Soil,10.84,2.86,0.34,Water Body,0.206,0.17,410.2,Very Low
Ramagundam NTPC,Basalt,Denudational Hills,Red Soil,9.29,2.59,0.57,Agricultural Land,0.374,0.369,1037.3,Moderate
Ramagundam NTPC,Gneiss,Flood Plain,Black Cotton Soil,29.41,2.47,0.3,Built-up,0.346,0.322,721.4,Moderate
Ramagundam NTPC,Schist,Alluvial Plain,Black Cotton Soil,12.31,3.29,0.19,Built-up,0.369,0.365,809.3,Moderate
Ramagundam NTPC,Granodiorite,Structural Hills,Clayey Soil,7.1,3.79,0.31,Agricultural Land,0.358,0.405,821.4,High
Ramagundam NTPC,Granodiorite,Alluvial Plain,Alluvial Soil,4.3,1.82,0.29,Built-up,0.367,0.353,1026.0,High
Ramagundam NTPC,Granodiorite,Denudational Hills,Red Soil,24.28,3.49,0.19,Fallow Land,0.56,0.516,593.8,Low
Ramagundam NTPC,Schist,Structural Hills,Red Soil,20.77,3.88,0.61,Forest,0.131,0.096,493.2,Low
Ramagundam NTPC,Granite,Pediplain,Gravelly Loam,22.25,1.23,0.47,Agricultural Land,0.277,0.267,473.4,Low
Ramagundam NTPC,Granodiorite,Alluvial Plain,Gravelly Loam,23.78,2.49,0.12,Built-up,0.545,0.554,875.4,Moderate
Ramagundam NTPC,Basalt,Alluvial Plain,Alluvial Soil,18.42,1.48,0.42,Fallow Land,0.289,0.273,1029.8,Moderate
Ramagundam NTPC,Granite,Flood Plain,Black Cotton Soil,5.24,1.25,0.26,Fallow Land,0.151,0.116,572.2,Low
Ramagundam NTPC,Granite,Flood Plain,Alluvial Soil,29.1,3.96,0.66,Forest,0.591,0.552,678.5,Moderate
Ramagundam NTPC,Gneiss,Denudational Hills,Alluvial Soil,23.2,1.25,0.29,Water Body,0.378,0.385,596.0,Low
Ramagundam NTPC,Schist,Structural Hills,Black Cotton Soil,9.01,2.82,0.17,Built-up,0.221,0.182,827.4,Moderate
Ramagundam NTPC,Granodiorite,Denudational Hills,Alluvial Soil,2.37,4.46,0.29,Fallow Land,0.126,0.11,494.1,Low
Ramagundam NTPC,Basalt,Denudational Hills,Gravelly Loam,18.38,3.68,0.13,Forest,0.101,0.063,731.2,Moderate
Ramagundam NTPC,Schist,Structural Hills,Black Cotton Soil,5.85,0.77,0.61,Agricultural Land,0.162,0.185,1056.8,High
Ramagundam NTPC,Schist,Alluvial Plain,Clayey Soil,6.0,1.44,0.53,Forest,0.475,0.505,977.6,High
Ramagundam NTPC,Granite,Alluvial Plain,Alluvial Soil,11.62,2.35,0.28,Agricultural Land,0.296,0.328,707.4,Moderate
Ramagundam NTPC,Gneiss,Flood Plain,Red Soil,7.26,2.67,0.37,Water Body,0.296,0.299,446.6,Very Low
Ramagundam NTPC,Granite,Structural Hills,Clayey Soil,26.87,3.65,0.16,Built-up,0.497,0.509,773.4,Moderate
Ramagundam NTPC,Basalt,Denudational Hills,Clayey Soil,22.99,4.01,0.31,Water Body,0.472,0.425,798.9,Moderate
Ramagundam NTPC,Gneiss,Flood Plain,Gravelly Loam,7.26,3.39,0.59,Water Body,0.299,0.329,504.9,Low
Ramagundam NTPC,Granodiorite,Flood Plain,Gravelly Loam,28.79,1.87,0.22,Forest,0.458,0.468,978.8,Moderate
Ramagundam NTPC,Schist,Denudational Hills,Clayey Soil,1.03,3.99,0.75,Fallow Land,0.393,0.394,828.0,High
Ramagundam NTPC,Granite,Flood Plain,Alluvial Soil,18.4,2.2,0.6,Fallow Land,0.454,0.419,803.4,Moderate
Ramagundam NTPC,Basalt,Alluvial Plain,Clayey Soil,27.66,3.98,0.44,Agricultural Land,0.592,0.626,487.3,Low
Ramagundam NTPC,Granodiorite,Pediplain,Black Cotton Soil,3.87,2.16,0.7,Forest,0.203,0.232,822.6,High
Ramagundam NTPC,Schist,Structural Hills,Alluvial Soil,27.43,1.49,0.48,Agricultural Land,0.559,0.568,423.0,Very Low
Ramagundam NTPC,Granite,Alluvial Plain,Gravelly Loam,6.77,2.56,0.78,Water Body,0.49,0.468,554.1,Low
Ramagundam NTPC,Gneiss,Structural Hills,Alluvial Soil,9.64,2.09,0.37,Fallow Land,0.368,0.336,609.7,Moderate
Ramagundam NTPC,Schist,Alluvial Plain,Red Soil,9.17,3.36,0.45,Built-up,0.289,0.323,811.2,Moderate
Ramagundam NTPC,Granodiorite,Denudational Hills,Alluvial Soil,28.41,1.99,0.25,Water Body,0.178,0.146,1003.2,Moderate
Ramagundam NTPC,Basalt,Alluvial Plain,Clayey Soil,16.78,1.52,0.2,Built-up,0.52,0.557,685.6,Moderate
Ramagundam NTPC,Gneiss,Denudational Hills,Gravelly Loam,24.26,4.45,0.5,Fallow Land,0.544,0.55,904.6,Moderate
Ramagundam NTPC,Basalt,Flood Plain,Clayey Soil,3.06,3.03,0.6,Built-up,0.171,0.162,626.8,Moderate
Ramagundam NTPC,Granodiorite,Flood Plain,Gravelly Loam,24.61,1.87,0.24,Water Body,0.392,0.384,1024.9,Moderate
Ramagundam NTPC,Schist,Alluvial Plain,Red Soil,13.37,1.68,0.76,Built-up,0.412,0.403,786.4,Moderate
Ramagundam NTPC,Basalt,Alluvial Plain,Alluvial Soil,1.16,1.57,0.46,Built-up,0.547,0.577,697.6,Moderate
Ramagundam NTPC,Basalt,Pediplain,Gravelly Loam,20.89,3.23,0.67,Agricultural Land,0.311,0.274,1030.4,Moderate
Ramagundam NTPC,Basalt,Flood Plain,Alluvial Soil,24.98,1.33,0.06,Built-up,0.237,0.242,856.0,Moderate
Ramagundam NTPC,Schist,Pediplain,Red Soil,5.67,4.16,0.36,Water Body,0.399,0.409,865.5,High
Ramagundam NTPC,Gneiss,Denudational Hills,Alluvial Soil,23.24,0.77,0.68,Built-up,0.579,0.547,463.2,Low
Ramagundam NTPC,Granite,Pediplain,Gravelly Loam,20.08,4.25,0.6,Water Body,0.249,0.256,733.2,Moderate
Ramagundam NTPC,Granodiorite,Structural Hills,Alluvial Soil,28.68,1.12,0.52,Agricultural Land,0.181,0.215,992.5,Moderate
Ramagundam NTPC,Granodiorite,Structural Hills,Gravelly Loam,18.15,2.34,0.11,Water Body,0.276,0.267,893.4,Moderate
Ramagundam NTPC,Granite,Pediplain,Alluvial Soil,9.78,3.73,0.77,Agricultural Land,0.584,0.535,472.2,Low
Ramagundam NTPC,Granite,Pediplain,Alluvial Soil,22.1,3.73,0.54,Water Body,0.193,0.197,1011.1,Moderate
Ramagundam NTPC,Granodiorite,Structural Hills,Red Soil,1.66,3.32,0.74,Fallow Land,0.211,0.26,1060.8,Very High
Ramagundam NTPC,Schist,Flood Plain,Red Soil,12.94,3.68,0.61,Built-up,0.466,0.435,480.7,Low
Ramagundam NTPC,Basalt,Flood Plain,Red Soil,7.29,0.98,0.11,Water Body,0.514,0.468,817.4,High
Ramagundam NTPC,Basalt,Pediplain,Gravelly Loam,20.02,3.45,0.44,Forest,0.386,0.416,776.9,Moderate
Ramagundam NTPC,Gneiss,Flood Plain,Gravelly Loam,26.3,2.62,0.75,Fallow Land,0.112,0.149,414.9,Very Low
Ramagundam NTPC,Granodiorite,Alluvial Plain,Gravelly Loam,19.01,3.99,0.79,Fallow Land,0.484,0.474,735.9,Moderate
Ramagundam NTPC,Basalt,Alluvial Plain,Alluvial Soil,9.26,3.91,0.59,Fallow Land,0.466,0.416,727.1,Moderate
Ramagundam NTPC,Basalt,Structural Hills,Black Cotton Soil,20.55,1.37,0.76,Water Body,0.594,0.587,669.0,Moderate
Ramagundam NTPC,Schist,Denudational Hills,Black Cotton Soil,14.29,2.95,0.18,Water Body,0.309,0.347,1061.3,Moderate
Dowleswaram,Granite,Alluvial Plain,Red Soil,4.05,0.69,0.34,Built-up,0.519,0.492,981.4,High
Dowleswaram,Granite,Structural Hills,Black Cotton Soil,6.88,2.57,0.5,Forest,0.513,0.543,840.8,High
Dowleswaram,Basalt,Alluvial Plain,Alluvial Soil,26.97,2.35,0.52,Water Body,0.358,0.357,1097.4,Moderate
Dowleswaram,Granite,Pediplain,Gravelly Loam,8.34,1.02,0.72,Forest,0.39,0.349,1014.2,Moderate
Dowleswaram,Gneiss,Structural Hills,Red Soil,3.07,2.13,0.33,Forest,0.505,0.521,785.6,High
Dowleswaram,Basalt,Flood Plain,Red Soil,2.75,3.9,0.42,Built-up,0.141,0.113,878.3,High
Dowleswaram,Schist,Alluvial Plain,Black Cotton Soil,8.38,4.01,0.65,Built-up,0.274,0.292,796.0,Moderate
Dowleswaram,Schist,Structural Hills,Black Cotton Soil,27.94,0.92,0.57,Fallow Land,0.18,0.163,567.1,Low
Dowleswaram,Granodiorite,Denudational Hills,Red Soil,4.3,1.84,0.61,Fallow Land,0.536,0.489,978.1,Very High
Dowleswaram,Granodiorite,Denudational Hills,Clayey Soil,18.7,4.42,0.52,Built-up,0.354,0.305,600.9,Moderate
Dowleswaram,Basalt,Structural Hills,Gravelly Loam,13.25,3.86,0.34,Water Body,0.164,0.142,412.9,Very Low
Dowleswaram,Granite,Pediplain,Black Cotton Soil,21.39,0.77,0.49,Forest,0.444,0.401,610.7,Moderate
Dowleswaram,Basalt,Flood Plain,Alluvial Soil,22.61,1.02,0.62,Built-up,0.536,0.583,1078.2,Moderate
Dowleswaram,Granite,Structural Hills,Clayey Soil,14.32,4.28,0.13,Built-up,0.226,0.176,511.3,Low
Dowleswaram,Schist,Denudational Hills,Clayey Soil,19.81,1.59,0.76,Fallow Land,0.21,0.168,876.3,Moderate
Dowleswaram,Granodiorite,Denudational Hills,Red Soil,22.92,2.27,0.28,Fallow Land,0.555,0.591,1075.2,Moderate
Dowleswaram,Schist,Alluvial Plain,Alluvial Soil,17.1,2.39,0.46,Fallow Land,0.2,0.237,900.4,Moderate
Dowleswaram,Basalt,Denudational Hills,Red Soil,22.95,3.0,0.15,Built-up,0.488,0.515,991.3,Moderate
Dowleswaram,Granite,Alluvial Plain,Gravelly Loam,18.15,2.93,0.24,Fallow Land,0.193,0.189,400.9,Very Low
Dowleswaram,Granodiorite,Flood Plain,Clayey Soil,13.93,0.55,0.1,Agricultural Land,0.234,0.264,617.3,Moderate
Dowleswaram,Granite,Denudational Hills,Gravelly Loam,14.67,0.92,0.23,Agricultural Land,0.53,0.558,427.7,Very Low
Dowleswaram,Granite,Structural Hills,Gravelly Loam,15.77,0.85,0.31,Forest,0.38,0.331,628.5,Moderate
Dowleswaram,Schist,Alluvial Plain,Black Cotton Soil,20.84,3.7,0.2,Fallow Land,0.298,0.261,797.3,Moderate
Dowleswaram,Granodiorite,Denudational Hills,Gravelly Loam,2.03,2.67,0.58,Built-up,0.453,0.406,1055.3,Very High
Dowleswaram,Granite,Denudational Hills,Red Soil,18.13,3.64,0.41,Built-up,0.342,0.358,787.1,Moderate
Dowleswaram,Schist,Structural Hills,Clayey Soil,14.64,2.96,0.3,Fallow Land,0.462,0.471,855.2,Moderate
Dowleswaram,Granite,Flood Plain,Black Cotton Soil,21.72,1.41,0.8,Water Body,0.429,0.429,788.8,Moderate
Dowleswaram,Basalt,Pediplain,Clayey Soil,1.4,1.53,0.4,Water Body,0.2,0.218,450.5,Low
Dowleswaram,Granite,Denudational Hills,Red Soil,15.39,2.67,0.44,Fallow Land,0.414,0.438,937.4,Moderate
Dowleswaram,Granodiorite,Structural Hills,Gravelly Loam,23.89,3.12,0.79,Built-up,0.298,0.309,818.4,Moderate
Dowleswaram,Granodiorite,Denudational Hills,Red Soil,4.38,3.36,0.73,Fallow Land,0.411,0.424,913.2,Very High
Dowleswaram,Granite,Denudational Hills,Red Soil,26.19,2.28,0.44,Agricultural Land,0.527,0.526,573.1,Low
Dowleswaram,Schist,Structural Hills,Black Cotton Soil,19.87,1.8,0.63,Forest,0.296,0.343,580.7,Low
Dowleswaram,Schist,Flood Plain,Gravelly Loam,10.44,3.82,0.37,Agricultural Land,0.137,0.104,763.8,Moderate
Dowleswaram,Granite,Alluvial Plain,Gravelly Loam,18.36,1.93,0.45,Water Body,0.226,0.212,665.6,Moderate
Dowleswaram,Basalt,Denudational Hills,Red Soil,1.51,4.45,0.14,Fallow Land,0.532,0.538,777.9,High
Dowleswaram,Schist,Pediplain,Gravelly Loam,3.11,0.91,0.49,Fallow Land,0.42,0.392,526.0,Low
Dowleswaram,Gneiss,Pediplain,Gravelly Loam,10.03,4.39,0.49,Water Body,0.34,0.359,412.2,Very Low
Dowleswaram,Basalt,Alluvial Plain,Clayey Soil,28.22,3.43,0.17,Fallow Land,0.163,0.126,500.5,Low
Dowleswaram,Granodiorite,Alluvial Plain,Red Soil,29.37,2.0,0.06,Agricultural Land,0.582,0.558,863.1,Moderate
Dowleswaram,Basalt,Structural Hills,Alluvial Soil,20.46,1.36,0.54,Forest,0.115,0.158,882.7,Moderate
Dowleswaram,Basalt,Alluvial Plain,Clayey Soil,9.88,3.97,0.8,Fallow Land,0.274,0.24,823.5,Moderate
Dowleswaram,Granodiorite,Pediplain,Clayey Soil,23.07,4.2,0.38,Agricultural Land,0.244,0.205,855.4,Moderate
Dowleswaram,Granite,Denudational Hills,Red Soil,9.26,3.1,0.3,Fallow Land,0.259,0.296,663.0,Moderate
Dowleswaram,Gneiss,Flood Plain,Red Soil,16.6,2.28,0.06,Forest,0.29,0.295,817.5,Moderate
Dowleswaram,Granodiorite,Alluvial Plain,Gravelly Loam,15.81,2.42,0.07,Fallow Land,0.332,0.32,1004.3,Moderate
Dowleswaram,Granodiorite,Denudational Hills,Black Cotton Soil,18.43,3.56,0.66,Built-up,0.299,0.307,773.5,Moderate
Dowleswaram,Gneiss,Flood Plain,Gravelly Loam,19.6,4.09,0.23,Fallow Land,0.109,0.079,405.3,Very Low
Dowleswaram,Basalt,Denudational Hills,Black Cotton Soil,18.71,2.59,0.55,Forest,0.34,0.309,516.4,Low
Dowleswaram,Schist,Pediplain,Clayey Soil,12.7,0.99,0.19,Agricultural Land,0.405,0.427,590.8,Low
Dowleswaram,Basalt,Pediplain,Black Cotton Soil,14.76,3.72,0.46,Fallow Land,0.384,0.36,1074.0,Moderate
Dowleswaram,Granodiorite,Alluvial Plain,Clayey Soil,7.23,1.35,0.51,Forest,0.401,0.433,1018.9,High
Dowleswaram,Schist,Pediplain,Alluvial Soil,23.53,1.6,0.67,Forest,0.55,0.535,565.8,Low
Dowleswaram,Granite,Structural Hills,Alluvial Soil,5.01,1.44,0.7,Fallow Land,0.483,0.448,696.8,Moderate
Dowleswaram,Granite,Pediplain,Black Cotton Soil,7.34,2.06,0.5,Fallow Land,0.421,0.432,782.7,High
Dowleswaram,Gneiss,Denudational Hills,Red Soil,21.87,0.56,0.31,Forest,0.438,0.432,712.1,Moderate
Dowleswaram,Granite,Flood Plain,Alluvial Soil,19.54,2.88,0.35,Water Body,0.553,0.58,585.4,Low
Dowleswaram,Granodiorite,Flood Plain,Gravelly Loam,2.56,3.06,0.25,Fallow Land,0.321,0.354,868.7,High
Dowleswaram,Schist,Denudational Hills,Red Soil,11.67,1.95,0.8,Water Body,0.328,0.297,436.6,Very Low
Dowleswaram,Schist,Alluvial Plain,Gravelly Loam,5.53,2.14,0.37,Water Body,0.581,0.594,928.4,High
Pattiseema,Schist,Alluvial Plain,Alluvial Soil,29.24,0.58,0.6,Fallow Land,0.337,0.325,483.9,Low
Pattiseema,Schist,Pediplain,Clayey Soil,26.01,2.93,0.43,Water Body,0.146,0.122,951.5,Moderate
Pattiseema,Gneiss,Flood Plain,Gravelly Loam,3.09,4.25,0.47,Forest,0.252,0.228,652.1,Moderate
Pattiseema,Granodiorite,Denudational Hills,Alluvial Soil,15.16,4.47,0.69,Forest,0.4,0.402,1043.6,Moderate
Pattiseema,Schist,Alluvial Plain,Clayey Soil,16.21,3.39,0.16,Built-up,0.37,0.383,872.0,Moderate
Pattiseema,Granite,Structural Hills,Alluvial Soil,29.28,3.06,0.67,Water Body,0.187,0.206,642.3,Moderate
Pattiseema,Granite,Structural Hills,Clayey Soil,24.97,1.77,0.76,Forest,0.403,0.367,1028.8,Moderate
Pattiseema,Schist,Structural Hills,Gravelly Loam,28.91,2.7,0.77,Forest,0.134,0.087,494.6,Low
Pattiseema,Gneiss,Structural Hills,Black Cotton Soil,1.02,2.91,0.32,Forest,0.239,0.274,400.2,Very Low
Pattiseema,Gneiss,Alluvial Plain,Black Cotton Soil,2.2,3.28,0.79,Fallow Land,0.33,0.286,1096.4,Very High
Pattiseema,Granite,Structural Hills,Gravelly Loam,20.92,0.75,0.43,Water Body,0.161,0.141,470.7,Low
Pattiseema,Basalt,Flood Plain,Black Cotton Soil,21.87,3.67,0.35,Water Body,0.187,0.203,993.6,Moderate
Pattiseema,Basalt,Structural Hills,Red Soil,28.93,1.49,0.15,Forest,0.341,0.309,671.0,Moderate
Pattiseema,Basalt,Structural Hills,Gravelly Loam,25.11,3.02,0.2,Agricultural Land,0.195,0.207,626.5,Moderate
Pattiseema,Schist,Pediplain,Gravelly Loam,25.41,0.89,0.42,Water Body,0.155,0.16,718.1,Moderate
Pattiseema,Granite,Alluvial Plain,Alluvial Soil,25.86,2.07,0.77,Agricultural Land,0.426,0.457,829.9,Moderate
Pattiseema,Basalt,Denudational Hills,Black Cotton Soil,8.74,4.22,0.24,Forest,0.571,0.602,453.5,Low
Pattiseema,Basalt,Denudational Hills,Alluvial Soil,26.74,2.3,0.71,Fallow Land,0.293,0.288,558.9,Low
Pattiseema,Granite,Structural Hills,Gravelly Loam,19.94,3.71,0.13,Fallow Land,0.124,0.078,922.3,Moderate
Pattiseema,Gneiss,Flood Plain,Red Soil,29.14,4.27,0.64,Fallow Land,0.294,0.29,1094.1,Moderate
Pattiseema,Granite,Alluvial Plain,Alluvial Soil,13.02,0.83,0.44,Forest,0.375,0.408,448.1,Very Low
Pattiseema,Granodiorite,Pediplain,Clayey Soil,8.19,0.78,0.77,Water Body,0.434,0.385,578.8,Low
Pattiseema,Schist,Pediplain,Black Cotton Soil,17.68,3.49,0.66,Forest,0.246,0.294,821.3,Moderate
Pattiseema,Granite,Pediplain,Gravelly Loam,11.48,2.23,0.38,Water Body,0.269,0.312,557.2,Low
Pattiseema,Granite,Denudational Hills,Alluvial Soil,19.55,1.64,0.66,Forest,0.161,0.131,1020.8,Moderate
Pattiseema,Gneiss,Flood Plain,Alluvial Soil,22.57,2.73,0.19,Water Body,0.418,0.39,1084.9,Moderate
Pattiseema,Gneiss,Denudational Hills,Clayey Soil,21.92,3.77,0.21,Built-up,0.122,0.088,492.2,Low
Pattiseema,Schist,Alluvial Plain,Clayey Soil,3.62,1.11,0.12,Forest,0.479,0.503,828.4,High
Pattiseema,Granodiorite,Pediplain,Black Cotton Soil,26.5,1.61,0.2,Agricultural Land,0.379,0.41,919.2,Moderate
Pattiseema,Schist,Denudational Hills,Red Soil,6.05,1.92,0.64,Forest,0.378,0.401,831.2,High
Pattiseema,Gneiss,Flood Plain,Clayey Soil,22.61,3.53,0.56,Forest,0.52,0.553,407.7,Very Low
Pattiseema,Basalt,Structural Hills,Red Soil,26.64,2.87,0.34,Water Body,0.284,0.279,905.4,Moderate
Pattiseema,Basalt,Pediplain,Gravelly Loam,26.29,2.54,0.59,Water Body,0.191,0.18,681.6,Moderate
Pattiseema,Gneiss,Structural Hills,Gravelly Loam,18.26,0.59,0.29,Forest,0.126,0.125,819.6,Moderate
Pattiseema,Granite,Pediplain,Gravelly Loam,13.49,1.09,0.3,Agricultural Land,0.454,0.483,762.1,Moderate
Pattiseema,Schist,Denudational Hills,Black Cotton Soil,28.03,3.07,0.37,Water Body,0.399,0.423,1098.8,Moderate
